FaultType,GroundResistance,PhaseA_Max,PhaseB_Max,PhaseC_Max,Ground_Max
Line_to_Line_Fault_BC,0.8,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.8,883.0017477,131.2099754,134.2748147,734.5674582
Single_Line_to_Ground_Fault_B_Ground,0.8,106.9282072,408.1282928,103.0476349,705.0232324
Single_Line_to_Ground_Fault_C_Ground,0.8,104.5303614,86.59866044,926.0742619,610.7220994
No_Fault,0.8,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,0.9,767.3107449,700.1110009,792.7979065,408.9482532
Three_Phase_Short_CKT_Fault_ABC,0.9,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,0.9,1082.420621,789.2866578,85.04686617,593.2503271
Double_Line_to_Ground_Fault_AC_Ground,0.9,942.599405,97.45523387,795.5400522,475.9040855
Double_Line_to_Ground_Fault_BC_Ground,0.9,133.1529679,505.7074797,691.2246103,260.6625066
Line_to_Line_Fault_AB,0.9,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,0.9,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,0.9,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,0.9,867.6855686,131.1486182,136.4248104,756.6977819
Single_Line_to_Ground_Fault_B_Ground,0.9,110.9207182,414.8396545,105.0578907,681.9345569
Single_Line_to_Ground_Fault_C_Ground,0.9,106.5187328,91.3644694,885.648034,601.0532716
No_Fault,0.9,72.10928843,132.0854227,115.7165292,1.13E-09
Three_Phase_to_Ground_Fault_ABC_Ground,1,767.3107449,700.1110008,792.7979064,415.1098844
Three_Phase_Short_CKT_Fault_ABC,1,919.8271212,976.9918058,728.7966641,0.014296962
Double_Line_to_Ground_Fault_AB_Ground,1,1086.162713,675.7490834,85.04686695,585.4793444
Double_Line_to_Ground_Fault_AC_Ground,1,488.8933965,131.472923,840.8784233,515.1909982
Double_Line_to_Ground_Fault_BC_Ground,1,133.0879227,508.1673926,689.764583,249.1103004
Line_to_Line_Fault_AB,1,502.8041878,527.8540283,114.1036409,0.005120158
Line_to_Line_Fault_AC,1,373.9171787,99.41207751,488.2035391,0.013630184
Line_to_Line_Fault_BC,1,115.7232301,594.5954543,735.5252057,0.0103538
Single_Line_to_Ground_Fault_A_Ground,1,852.780584,75.29234766,102.683584,778.3837028
Single_Line_to_Ground_Fault_B_Ground,1,114.8691594,421.4920897,107.0679564,659.0749547
Single_Line_to_Ground_Fault_C_Ground,1,131.0677665,131.0679332,846.3774266,591.6231461
No_Fault,1,72.10928843,132.0854227,115.7165292,1.13E-09
